consulta_id,persona_id,fecha,estado,formulario_origen,programa_codigo
C001,P001,2025-08-01,Interesado,web_form,DCG25-1
C002,P002,2025-08-02,Interesado,webinar_form,DCG25-2
C003,P003,2025-08-03,Interesado,sem_google,DGO25-1
C004,P004,2025-08-04,Interesado,sem_meta,DGO25-2
C005,P005,2025-08-05,Interesado,landing_expo,DFC25-1
C006,P006,2025-08-06,Interesado,admision_directa,DFC25-2
C007,P007,2025-08-07,Interesado,contacto_directo,DTA25-1
C008,P008,2025-08-08,Interesado,referido_interno,DTA25-2
C009,P009,2025-08-09,Interesado,web_form,DAD25-1
C010,P010,2025-08-10,Interesado,webinar_form,DAD25-2
C011,P011,2025-08-11,Interesado,sem_google,DTD25-1
C012,P012,2025-08-12,Desechado,sem_meta,DTD25-2
C013,P013,2025-08-13,Desechado,landing_expo,DCG25-1
C014,P014,2025-08-14,Desechado,admision_directa,DCG25-2
C015,P015,2025-08-15,Desechado,contacto_directo,DGO25-1
C016,P016,2025-08-16,Desechado,referido_interno,DGO25-2
C017,P017,2025-08-17,Desechado,web_form,DFC25-1
C018,P018,2025-08-18,Gestionado,webinar_form,DFC25-2
C019,P019,2025-08-19,Gestionado,sem_google,DTA25-1
C020,P020,2025-08-20,Gestionado,sem_meta,DTA25-2
C021,P021,2025-08-21,Gestionado,landing_expo,DAD25-1
C022,P022,2025-08-22,Gestionado,admision_directa,DAD25-2
C023,P023,2025-08-23,Gestionado,contacto_directo,DTD25-1
C024,P024,2025-08-24,Matriculado,referido_interno,DTD25-2
C025,P025,2025-08-25,Matriculado,web_form,DCG25-1
C026,P026,2025-08-26,Matriculado,webinar_form,DCG25-2
C027,P027,2025-08-27,Retracto Matrícula,sem_google,DGO25-1
C028,P028,2025-08-28,Evaluado,sem_meta,DGO25-2
C029,P029,2025-08-29,Matrícula en Proceso,landing_expo,DFC25-1
C030,P030,2025-08-30,Reservar Matrícula,admision_directa,DFC25-2
