programa_codigo,programa_nombre,area
DCG25-1,Diploma en Control de Gestión,Gestión y Control
DCG25-2,Diploma en Control de Gestión,Gestión y Control
DGO25-1,Diploma en Gestión de Operaciones,Gestión y Control
DGO25-2,Diploma en Gestión de Operaciones,Gestión y Control
DFC25-1,Diploma en Finanzas Corporativas,Finanzas y Tributación
DFC25-2,Diploma en Finanzas Corporativas,Finanzas y Tributación
DTA25-1,Diploma en Tributación Aplicada,Finanzas y Tributación
DTA25-2,Diploma en Tributación Aplicada,Finanzas y Tributación
DAD25-1,Diploma en Analítica de Datos,Tecnología y Datos
DAD25-2,Diploma en Analítica de Datos,Tecnología y Datos
DTD25-1,Diploma en Transformación Digital,Tecnología y Datos
DTD25-2,Diploma en Transformación Digital,Tecnología y Datos
